#LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,EL)H-1-L0,SIG
#NUCLEUS    H-1
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+07
#E,eV        Sig,b
5.400000000000000000e+06 1.539228000000000041e+00
5.600000000000000000e+06 1.498490000000000100e+00
5.800000000000000000e+06 1.459791000000000061e+00
6.000000000000000000e+06 1.422973000000000043e+00
6.200000000000000000e+06 1.387895000000000101e+00
6.400000000000000000e+06 1.354432000000000080e+00
6.600000000000000000e+06 1.322470999999999952e+00
6.800000000000000000e+06 1.291908000000000056e+00
7.000000000000000000e+06 1.262652000000000108e+00
7.500000000000000000e+06 1.194690999999999947e+00
8.000000000000000000e+06 1.133258000000000099e+00
8.500000000000000000e+06 1.077439999999999953e+00
9.000000000000000000e+06 1.026496000000000075e+00
9.500000000000000000e+06 9.798120000000000163e-01
1.000000000000000000e+07 9.368746999999999492e-01
1.050000000000000000e+07 8.972527000000000141e-01
1.100000000000000000e+07 8.605796000000000001e-01
1.150000000000000000e+07 8.265415000000000401e-01
1.200000000000000000e+07 7.948682000000000247e-01
1.250000000000000000e+07 7.653254999999999919e-01
1.300000000000000000e+07 7.377093000000000123e-01
1.350000000000000000e+07 7.118406000000000455e-01
1.400000000000000000e+07 6.875622999999999596e-01
1.450000000000000000e+07 6.647351999999999705e-01
1.500000000000000000e+07 6.432358999999999716e-01
#END
