#LIBRARY    ENDF/B-VIII.0
#REACTION   O-16(N,TOT),SIG
#NUCLEUS    O-16
#MF         3
#MT         1
#E,eV        Sig,b        Interpolation
 0.869792    3.80117      Lin-Lin
 0.959413    3.80075      Lin-Lin
 1.05827     3.80029      Lin-Lin
 1.16731     3.79978      Lin-Lin
 1.28758     3.79922      Lin-Lin
 1.4302      3.79856      Lin-Lin
 1.57757     3.79787      Lin-Lin
 1.74011     3.79711      Lin-Lin
 1.93295     3.79622      Lin-Lin
 2.1202      3.79534      Lin-Lin
 2.14705     3.79534      Lin-Lin
 2.38498     3.79534      Lin-Lin
 2.63072     3.79534      Lin-Lin
 2.94272     3.79534      Lin-Lin
 3.24593     3.79534      Lin-Lin
 3.60546     3.79534      Lin-Lin
 4.00501     3.79534      Lin-Lin
 4.44862     3.79533      Lin-Lin
 4.90699     3.79533      Lin-Lin
 5.37494     3.79533      Lin-Lin
 6.0124      3.79533      Lin-Lin
 6.6319      3.79533      Lin-Lin
 7.41844     3.79532      Lin-Lin
 8.24013     3.79532      Lin-Lin
 9.2174      3.79532      Lin-Lin
 10.0964     3.79532      Lin-Lin
 11.2147     3.79531      Lin-Lin
 12.4575     3.79531      Lin-Lin
 13.7411     3.79531      Lin-Lin
 15.1569     3.79531      Lin-Lin
 16.8358     3.7953       Lin-Lin
 18.8325     3.7953       Lin-Lin
 20.199      3.79529      Lin-Lin
 22.5945     3.79529      Lin-Lin
 25.2742     3.79528      Lin-Lin
 28.8728     3.79528      Lin-Lin
 32.5233     3.79527      Lin-Lin
 37.1541     3.79526      Lin-Lin
 41.2694     3.79525      Lin-Lin
 45.8428     3.79524      Lin-Lin
 50.2121     3.79523      Lin-Lin
 56.5634     3.79522      Lin-Lin
 65.5254     3.7952       Lin-Lin
 75.3794     3.79518      Lin-Lin
 89.8084     3.79515      Lin-Lin
 100.46      3.79512      Lin-Lin
 126.582     3.79507      Lin-Lin
 150.812     3.79502      Lin-Lin
 297.518     3.79471      Lin-Lin
 354.922     3.79459      Lin-Lin
 408.297     3.79448      Lin-Lin
 507.333     3.79428      Lin-Lin
 617.267     3.79405      Lin-Lin
 740.575     3.79379      Lin-Lin
 933.145     3.79339      Lin-Lin
 1217.73     3.7928       Lin-Lin
 1420.62     3.79238      Lin-Lin
 1740.65     3.79171      Lin-Lin
 2132.66     3.79089      Lin-Lin
 2463.25     3.79021      Lin-Lin
 2873.66     3.78935      Lin-Lin
 3480.28     3.78809      Lin-Lin
 4146.27     3.7867       Lin-Lin
 4796.63     3.78535      Lin-Lin
 5142.08     3.78463      Lin-Lin
 10070.5     3.77436      Lin-Lin
 15105.8     3.76388      Lin-Lin
 35246.9     3.72193      Lin-Lin
 55775.9     3.67917      Lin-Lin
 76594.6     3.63581      Lin-Lin
 99077.8     3.58898      Lin-Lin
 102814      3.58119      Lin-Lin
 132294      3.52969      Lin-Lin
 162019      3.47775      Lin-Lin
 171610      3.461        Lin-Lin
 201411      3.42103      Lin-Lin
 208585      3.41141      Lin-Lin
 245055      3.37944      Lin-Lin
 250000      3.37785      Lin-Lin
 260000      3.37464      Lin-Lin
 280000      3.3851       Lin-Lin
 281975      3.38614      Lin-Lin
 300000      3.41526      Lin-Lin
 320000      3.48934      Lin-Lin
 340000      3.64286      Lin-Lin
 360000      3.96539      Lin-Lin
 370000      4.33529      Lin-Lin
 380000      4.70521      Lin-Lin
 390000      5.43819      Lin-Lin
 395000      5.97658      Lin-Lin
 400000      6.68602      Lin-Lin
 405000      7.62605      Lin-Lin
 410000      8.867        Lin-Lin
 415000      10.4671      Lin-Lin
 420000      12.4048      Lin-Lin
 425000      14.446       Lin-Lin
 429965      16.0245      Lin-Lin
 430000      16.0355      Lin-Lin
 434000      16.5211      Lin-Lin
 435000      16.4883      Lin-Lin
 435125      16.4842      Lin-Lin
 440000      15.6392      Lin-Lin
 445000      13.9145      Lin-Lin
 450000      11.9801      Lin-Lin
 455000      10.238       Lin-Lin
 459688      8.90544      Lin-Lin
 460000      8.81661      Lin-Lin
 461622      8.45549      Lin-Lin
 465000      7.70372      Lin-Lin
 469973      6.84762      Lin-Lin
 470000      6.8429       Lin-Lin
 470026      6.83945      Lin-Lin
 471243      6.67697      Lin-Lin
 475000      6.17559      Lin-Lin
 479974      5.65664      Lin-Lin
 480000      5.65389      Lin-Lin
 480026      5.65226      Lin-Lin
 480053      5.65062      Lin-Lin
 490000      5.03586      Lin-Lin
 500000      4.41782      Lin-Lin
 520000      3.83132      Lin-Lin
 540000      3.50363      Lin-Lin
 550000      3.40027      Lin-Lin
 560000      3.29691      Lin-Lin
 580000      3.15416      Lin-Lin
 600000      3.04864      Lin-Lin
 624374      2.95203      Lin-Lin
 644515      2.88784      Lin-Lin
 650000      2.87369      Lin-Lin
 669311      2.82389      Lin-Lin
 700000      2.7606       Lin-Lin
 730047      2.71607      Lin-Lin
 750000      2.69604      Lin-Lin
 760000      2.68601      Lin-Lin
 780000      2.6775       Lin-Lin
 800000      2.68078      Lin-Lin
 817009      2.69745      Lin-Lin
 820000      2.70038      Lin-Lin
 835000      2.7312       Lin-Lin
 845000      2.76115      Lin-Lin
 850000      2.77842      Lin-Lin
 860000      2.82441      Lin-Lin
 870000      2.8851       Lin-Lin
 880000      2.96483      Lin-Lin
 890000      3.06956      Lin-Lin
 900000      3.20741      Lin-Lin
 910000      3.38958      Lin-Lin
 920000      3.63138      Lin-Lin
 930000      3.95313      Lin-Lin
 940000      4.38022      Lin-Lin
 950000      4.93941      Lin-Lin
 960000      5.64608      Lin-Lin
 980000      7.30895      Lin-Lin
 990000      7.9338       Lin-Lin
 1E+06       8.12587      Lin-Lin
 1.01E+06    7.83383      Lin-Lin
 1.02E+06    7.21442      Lin-Lin
 1.03E+06    6.484        Lin-Lin
 1.04E+06    5.78984      Lin-Lin
 1.05E+06    5.19335      Lin-Lin
 1.06E+06    4.70383      Lin-Lin
 1.07E+06    4.30915      Lin-Lin
 1.08E+06    3.99185      Lin-Lin
 1.09E+06    3.73554      Lin-Lin
 1.1E+06     3.52677      Lin-Lin
 1.11E+06    3.35507      Lin-Lin
 1.12E+06    3.21248      Lin-Lin
 1.13E+06    3.09301      Lin-Lin
 1.14E+06    2.99215      Lin-Lin
 1.15E+06    2.90657      Lin-Lin
 1.16E+06    2.83381      Lin-Lin
 1.17E+06    2.77212      Lin-Lin
 1.18E+06    2.72037      Lin-Lin
 1.19E+06    2.67802      Lin-Lin
 1.2E+06     2.64512      Lin-Lin
 1.21E+06    2.62251      Lin-Lin
 1.22E+06    2.61214      Lin-Lin
 1.23E+06    2.61765      Lin-Lin
 1.23E+06    2.61765      Lin-Lin
 1.24E+06    2.64563      Lin-Lin
 1.25E+06    2.70807      Lin-Lin
 1.255E+06   2.75861      Lin-Lin
 1.26E+06    2.8276       Lin-Lin
 1.265E+06   2.92129      Lin-Lin
 1.27E+06    3.04867      Lin-Lin
 1.275E+06   3.22252      Lin-Lin
 1.28E+06    3.46084      Lin-Lin
 1.285E+06   3.78778      Lin-Lin
 1.29E+06    4.23176      Lin-Lin
 1.295E+06   4.81399      Lin-Lin
 1.29969E+06 5.46949      Lin-Lin
 1.3E+06     5.51318      Lin-Lin
 1.30125E+06 5.68798      Lin-Lin
 1.305E+06   6.21237      Lin-Lin
 1.307E+06   6.43812      Lin-Lin
 1.309E+06   6.60572      Lin-Lin
 1.30988E+06 6.64761      Lin-Lin
 1.30996E+06 6.65131      Lin-Lin
 1.30998E+06 6.65224      Lin-Lin
 1.31004E+06 6.65502      Lin-Lin
 1.31012E+06 6.65873      Lin-Lin
 1.311E+06   6.70061      Lin-Lin
 1.313E+06   6.71468      Lin-Lin
 1.315E+06   6.6484       Lin-Lin
 1.317E+06   6.5104       Lin-Lin
 1.319E+06   6.31527      Lin-Lin
 1.32E+06    6.19775      Lin-Lin
 1.321E+06   6.08023      Lin-Lin
 1.3275E+06  5.23676      Lin-Lin
 1.33E+06    4.9181       Lin-Lin
 1.335E+06   4.37852      Lin-Lin
 1.34E+06    3.95094      Lin-Lin
 1.345E+06   3.6194       Lin-Lin
 1.35E+06    3.36263      Lin-Lin
 1.36E+06    3.00263      Lin-Lin
 1.37E+06    2.76986      Lin-Lin
 1.38E+06    2.61026      Lin-Lin
 1.39E+06    2.49484      Lin-Lin
 1.4E+06     2.40745      Lin-Lin
 1.41E+06    2.33867      Lin-Lin
 1.42E+06    2.28274      Lin-Lin
 1.43E+06    2.23598      Lin-Lin
 1.44E+06    2.19597      Lin-Lin
 1.45016E+06 2.16249      Lin-Lin
 1.46E+06    2.13006      Lin-Lin
 1.48E+06    2.07675      Lin-Lin
 1.51E+06    2.01134      Lin-Lin
 1.54E+06    1.95838      Lin-Lin
 1.55E+06    1.94072      Lin-Lin
 1.565E+06   1.91942      Lin-Lin
 1.58E+06    1.89812      Lin-Lin
 1.59E+06    1.88392      Lin-Lin
 1.6E+06     1.87518      Lin-Lin
 1.61E+06    1.86645      Lin-Lin
 1.613E+06   1.86382      Lin-Lin
 1.616E+06   1.86289      Lin-Lin
 1.62E+06    1.86627      Lin-Lin
 1.625E+06   1.87049      Lin-Lin
 1.6275E+06  1.87667      Lin-Lin
 1.628E+06   1.87791      Lin-Lin
 1.63E+06    1.88823      Lin-Lin
 1.63188E+06 1.89792      Lin-Lin
 1.632E+06   1.89856      Lin-Lin
 1.634E+06   1.91644      Lin-Lin
 1.636E+06   1.94328      Lin-Lin
 1.638E+06   1.98503      Lin-Lin
 1.63992E+06 2.05055      Lin-Lin
 1.64E+06    2.05321      Lin-Lin
 1.64012E+06 2.0596       Lin-Lin
 1.641E+06   2.10426      Lin-Lin
 1.64194E+06 2.16945      Lin-Lin
 1.642E+06   2.1738       Lin-Lin
 1.64212E+06 2.18596      Lin-Lin
 1.643E+06   2.27111      Lin-Lin
 1.64391E+06 2.39902      Lin-Lin
 1.644E+06   2.41224      Lin-Lin
 1.64409E+06 2.43188      Lin-Lin
 1.64475E+06 2.56933      Lin-Lin
 1.645E+06   2.626        Lin-Lin
 1.64575E+06 2.87578      Lin-Lin
 1.64588E+06 2.92024      Lin-Lin
 1.64594E+06 2.94247      Lin-Lin
 1.646E+06   2.9647       Lin-Lin
 1.64606E+06 2.99476      Lin-Lin
 1.64619E+06 3.05487      Lin-Lin
 1.64638E+06 3.14503      Lin-Lin
 1.6465E+06  3.21087      Lin-Lin
 1.64688E+06 3.44974      Lin-Lin
 1.647E+06   3.53675      Lin-Lin
 1.64731E+06 3.80071      Lin-Lin
 1.6475E+06  3.97131      Lin-Lin
 1.64775E+06 4.25282      Lin-Lin
 1.64788E+06 4.39984      Lin-Lin
 1.64794E+06 4.47335      Lin-Lin
 1.64795E+06 4.49449      Lin-Lin
 1.648E+06   4.55786      Lin-Lin
 1.64805E+06 4.62127      Lin-Lin
 1.64806E+06 4.64239      Lin-Lin
 1.64812E+06 4.73898      Lin-Lin
 1.64844E+06 5.22193      Lin-Lin
 1.64856E+06 5.44195      Lin-Lin
 1.64888E+06 6.05643      Lin-Lin
 1.649E+06   6.31168      Lin-Lin
 1.6495E+06  7.43381      Lin-Lin
 1.64988E+06 8.19867      Lin-Lin
 1.64994E+06 8.32614      Lin-Lin
 1.64995E+06 8.35214      Lin-Lin
 1.65E+06    8.4301       Lin-Lin
 1.65003E+06 8.46658      Lin-Lin
 1.65009E+06 8.53952      Lin-Lin
 1.65012E+06 8.57598      Lin-Lin
 1.65038E+06 8.79607      Lin-Lin
 1.65044E+06 8.85109      Lin-Lin
 1.6505E+06  8.8732       Lin-Lin
 1.65059E+06 8.8455       Lin-Lin
 1.65094E+06 8.58369      Lin-Lin
 1.65103E+06 8.46553      Lin-Lin
 1.65119E+06 8.17794      Lin-Lin
 1.6515E+06  7.55545      Lin-Lin
 1.65194E+06 6.57448      Lin-Lin
 1.652E+06   6.43438      Lin-Lin
 1.652E+06   6.43437      Lin-Lin
 1.65212E+06 6.18045      Lin-Lin
 1.65238E+06 5.67265      Lin-Lin
 1.6525E+06  5.43291      Lin-Lin
 1.65269E+06 5.12313      Lin-Lin
 1.65294E+06 4.7295       Lin-Lin
 1.65306E+06 4.55553      Lin-Lin
 1.65338E+06 4.17879      Lin-Lin
 1.6535E+06  4.03756      Lin-Lin
 1.65369E+06 3.86117      Lin-Lin
 1.65388E+06 3.6953       Lin-Lin
 1.65394E+06 3.64001      Lin-Lin
 1.65395E+06 3.6284       Lin-Lin
 1.654E+06   3.59361      Lin-Lin
 1.65405E+06 3.5588       Lin-Lin
 1.65406E+06 3.5472       Lin-Lin
 1.65412E+06 3.51024      Lin-Lin
 1.65494E+06 3.02974      Lin-Lin
 1.65506E+06 2.97087      Lin-Lin
 1.65575E+06 2.72758      Lin-Lin
 1.65591E+06 2.67506      Lin-Lin
 1.65597E+06 2.65405      Lin-Lin
 1.656E+06   2.64355      Lin-Lin
 1.65603E+06 2.63647      Lin-Lin
 1.65612E+06 2.61524      Lin-Lin
 1.65675E+06 2.47369      Lin-Lin
 1.657E+06   2.42047      Lin-Lin
 1.65791E+06 2.28615      Lin-Lin
 1.658E+06   2.27226      Lin-Lin
 1.65809E+06 2.2626       Lin-Lin
 1.659E+06   2.1692       Lin-Lin
 1.65994E+06 2.09941      Lin-Lin
 1.66E+06    2.09476      Lin-Lin
 1.66004E+06 2.09259      Lin-Lin
 1.66023E+06 2.08174      Lin-Lin
 1.661E+06   2.03923      Lin-Lin
 1.662E+06   1.99667      Lin-Lin
 1.663E+06   1.96328      Lin-Lin
 1.664E+06   1.9366       Lin-Lin
 1.666E+06   1.89679      Lin-Lin
 1.668E+06   1.86873      Lin-Lin
 1.66992E+06 1.85002      Lin-Lin
 1.67005E+06 1.8488       Lin-Lin
 1.67009E+06 1.84834      Lin-Lin
 1.671E+06   1.83952      Lin-Lin
 1.675E+06   1.81386      Lin-Lin
 1.67994E+06 1.79373      Lin-Lin
 1.68008E+06 1.79316      Lin-Lin
 1.681E+06   1.7894       Lin-Lin
 1.68191E+06 1.78733      Lin-Lin
 1.682E+06   1.78711      Lin-Lin
 1.68212E+06 1.78683      Lin-Lin
 1.68388E+06 1.78283      Lin-Lin
 1.68394E+06 1.78269      Lin-Lin
 1.684E+06   1.78255      Lin-Lin
 1.68406E+06 1.78241      Lin-Lin
 1.68419E+06 1.78213      Lin-Lin
 1.68588E+06 1.77832      Lin-Lin
 1.68594E+06 1.77818      Lin-Lin
 1.68598E+06 1.77808      Lin-Lin
 1.686E+06   1.77804      Lin-Lin
 1.68603E+06 1.77809      Lin-Lin
 1.68606E+06 1.77813      Lin-Lin
 1.68612E+06 1.77823      Lin-Lin
 1.68684E+06 1.77932      Lin-Lin
 1.68689E+06 1.77939      Lin-Lin
 1.68692E+06 1.77944      Lin-Lin
 1.68695E+06 1.77949      Lin-Lin
 1.68698E+06 1.77953      Lin-Lin
 1.687E+06   1.77957      Lin-Lin
 1.687E+06   1.77957      Lin-Lin
 1.68702E+06 1.77988      Lin-Lin
 1.68705E+06 1.78019      Lin-Lin
 1.68708E+06 1.78061      Lin-Lin
 1.68712E+06 1.78123      Lin-Lin
 1.68731E+06 1.78375      Lin-Lin
 1.68778E+06 1.79004      Lin-Lin
 1.68783E+06 1.79067      Lin-Lin
 1.68786E+06 1.79109      Lin-Lin
 1.68788E+06 1.79131      Lin-Lin
 1.68789E+06 1.79153      Lin-Lin
 1.68791E+06 1.79176      Lin-Lin
 1.68791E+06 1.79176      Lin-Lin
 1.68792E+06 1.79279      Lin-Lin
 1.68793E+06 1.79383      Lin-Lin
 1.68794E+06 1.79487      Lin-Lin
 1.68795E+06 1.79592      Lin-Lin
 1.68796E+06 1.79698      Lin-Lin
 1.68798E+06 1.79805      Lin-Lin
 1.68799E+06 1.79912      Lin-Lin
 1.688E+06   1.80021      Lin-Lin
 1.68801E+06 1.80289      Lin-Lin
 1.68802E+06 1.80558      Lin-Lin
 1.68804E+06 1.80828      Lin-Lin
 1.68805E+06 1.81099      Lin-Lin
 1.68806E+06 1.81372      Lin-Lin
 1.68808E+06 1.81781      Lin-Lin
 1.68809E+06 1.82055      Lin-Lin
 1.6881E+06  1.82237      Lin-Lin
 1.68813E+06 1.83152      Lin-Lin
 1.68819E+06 1.848        Lin-Lin
 1.6886E+06  1.96899      Lin-Lin
 1.68864E+06 1.98003      Lin-Lin
 1.68866E+06 1.98742      Lin-Lin
 1.68868E+06 1.99302      Lin-Lin
 1.6887E+06  1.99868      Lin-Lin
 1.68871E+06 2.00251      Lin-Lin
 1.68872E+06 2.00641      Lin-Lin
 1.68874E+06 2.01038      Lin-Lin
 1.68875E+06 2.01343      Lin-Lin
 1.68876E+06 2.01654      Lin-Lin
 1.68877E+06 2.01973      Lin-Lin
 1.68878E+06 2.023        Lin-Lin
 1.68878E+06 2.02639      Lin-Lin
 1.68879E+06 2.0299       Lin-Lin
 1.6888E+06  2.03231      Lin-Lin
 1.68881E+06 2.0348       Lin-Lin
 1.68881E+06 2.03737      Lin-Lin
 1.68881E+06 2.03737      Lin-Lin
 1.68882E+06 2.04035      Lin-Lin
 1.68882E+06 2.04342      Lin-Lin
 1.68883E+06 2.04661      Lin-Lin
 1.68884E+06 2.0499       Lin-Lin
 1.68884E+06 2.05332      Lin-Lin
 1.68885E+06 2.05688      Lin-Lin
 1.68886E+06 2.06059      Lin-Lin
 1.68886E+06 2.06447      Lin-Lin
 1.68887E+06 2.06853      Lin-Lin
 1.68888E+06 2.07279      Lin-Lin
 1.68888E+06 2.07728      Lin-Lin
 1.68889E+06 2.08199      Lin-Lin
 1.68889E+06 2.08448      Lin-Lin
 1.68889E+06 2.08764      Lin-Lin
 1.6889E+06  2.09423      Lin-Lin
 1.68891E+06 2.10114      Lin-Lin
 1.68891E+06 2.10834      Lin-Lin
 1.68892E+06 2.11588      Lin-Lin
 1.68892E+06 2.12375      Lin-Lin
 1.68893E+06 2.132        Lin-Lin
 1.68894E+06 2.14059      Lin-Lin
 1.68894E+06 2.1406       Lin-Lin
 1.68894E+06 2.15185      Lin-Lin
 1.68895E+06 2.16346      Lin-Lin
 1.68896E+06 2.17548      Lin-Lin
 1.68897E+06 2.19419      Lin-Lin
 1.68897E+06 2.20066      Lin-Lin
 1.68898E+06 2.2163       Lin-Lin
 1.68898E+06 2.24046      Lin-Lin
 1.68899E+06 2.26109      Lin-Lin
 1.689E+06   2.27554      Lin-Lin
 1.68901E+06 2.31661      Lin-Lin
 1.68902E+06 2.37121      Lin-Lin
 1.68903E+06 2.38913      Lin-Lin
 1.68904E+06 2.42106      Lin-Lin
 1.68905E+06 2.46011      Lin-Lin
