0.005	0
0.015	0
0.025	0
0.035	0
0.045	0
0.055	0
0.065	0
0.075	5.36428e-07
0.085	2.11993e-06
0.095	4.10602e-06
0.105	5.95291e-06
0.115	6.62376e-06
0.125	6.49564e-06
0.135	6.20571e-06
0.145	5.91663e-06
0.155	5.6731e-06
0.165	5.48318e-06
0.175	5.29287e-06
0.185	5.25571e-06
0.195	5.05007e-06
0.205	4.71394e-06
0.215	4.46595e-06
0.225	4.25946e-06
0.235	4.08317e-06
0.245	3.91725e-06
0.255	3.80464e-06
0.265	3.67353e-06
0.275	3.57994e-06
0.285	3.53179e-06
0.295	3.41096e-06
0.305	3.35072e-06
0.315	3.30595e-06
0.325	3.24346e-06
0.335	3.19464e-06
0.345	3.16294e-06
0.355	3.10689e-06
0.365	3.08135e-06
0.375	3.04343e-06
0.385	3.03106e-06
0.395	3.0083e-06
0.405	3.00521e-06
0.415	2.96555e-06
0.425	2.94589e-06
0.435	2.95977e-06
0.445	2.9895e-06
0.455	2.98266e-06
0.465	2.97984e-06
0.475	2.9868e-06
0.485	3.02586e-06
0.495	3.02115e-06
0.505	3.06307e-06
0.515	3.05107e-06
0.525	3.05057e-06
0.535	3.0919e-06
0.545	3.09942e-06
0.555	3.12126e-06
0.565	3.1311e-06
0.575	3.11979e-06
0.585	3.16752e-06
0.595	3.17272e-06
0.605	3.14947e-06
0.615	3.16026e-06
0.625	3.16038e-06
0.635	3.20876e-06
0.645	3.23901e-06
0.655	3.23144e-06
0.665	7.63923e-05
0.675	0
0.685	0
0.695	0
0.705	0
0.715	0
0.725	0
0.735	0
0.745	0
0.755	0
0.765	0
0.775	0
0.785	0
0.795	0
0.805	0
0.815	0
0.825	0
0.835	0
0.845	0
0.855	0
0.865	0
0.875	0
0.885	0
0.895	0
0.905	0
0.915	0
0.925	0
0.935	0
0.945	0
0.955	0
0.965	0
0.975	0
0.985	0
0.995	0
