#LIBRARY    JENDL/HE-2007
#REACTION   H-1(N,NON),SIG
#NUCLEUS    H-1
#MF         3
#MT         3
#E,eV        Sig,b        Interpolation
 33.2148     0.00916067   Lin-Lin
 36.6372     0.00872466   Lin-Lin
 40.4122     0.00830757   Lin-Lin
 44.5761     0.0079072    Lin-Lin
 49.5135     0.00750308   Lin-Lin
 55.0005     0.00711859   Lin-Lin
 60.6676     0.00677975   Lin-Lin
 66.4498     0.00647827   Lin-Lin
 73.2966     0.00616686   Lin-Lin
 80.2865     0.0058927    Lin-Lin
 88.559      0.00561016   Lin-Lin
 97.6838     0.00534147   Lin-Lin
 108.504     0.00506681   Lin-Lin
 119.684     0.00482377   Lin-Lin
 132.947     0.00457538   Lin-Lin
 145.618     0.00437149   Lin-Lin
 158.387     0.00419093   Lin-Lin
 173.492     0.00400286   Lin-Lin
 190.027     0.00382401   Lin-Lin
 206.691     0.00366587   Lin-Lin
 226.402     0.00350143   Lin-Lin
 246.256     0.00335767   Lin-Lin
 267.85      0.00321795   Lin-Lin
 291.338     0.0030853    Lin-Lin
 314.667     0.00296804   Lin-Lin
 344.675     0.00283484   Lin-Lin
 377.526     0.00270825   Lin-Lin
 410.632     0.00259622   Lin-Lin
 446.64      0.00248852   Lin-Lin
 482.428     0.00239443   Lin-Lin
 528.408     0.00228691   Lin-Lin
 574.745     0.00219262   Lin-Lin
 625.145     0.00210187   Lin-Lin
 684.762     0.00200754   Lin-Lin
 750.027     0.00191794   Lin-Lin
 815.798     0.00183872   Lin-Lin
 899.855     0.00175014   Lin-Lin
 992.574     0.00166542   Lin-Lin
 1102.57     0.0015842    Lin-Lin
 1233.33     0.00150187   Lin-Lin
 1360.41     0.00143364   Lin-Lin
 1500.58     0.00136815   Lin-Lin
 1666.79     0.00130114   Lin-Lin
 1812.96     0.00125041   Lin-Lin
 1985.85     0.00119677   Lin-Lin
 2159.99     0.00114746   Lin-Lin
 2349.4      0.00109935   Lin-Lin
 2573.33     0.00104939   Lin-Lin
 2798.99     0.00100538   Lin-Lin
 3087.38     0.000956194  Lin-Lin
 3381.81     0.000910754  Lin-Lin
 3652.6      0.000874523  Lin-Lin
 3917.63     0.000842499  Lin-Lin
 4291.23     0.000801911  Lin-Lin
 4667.54     0.000765988  Lin-Lin
 5112.4      0.000728859  Lin-Lin
 5560.72     0.000695374  Lin-Lin
 6133.68     0.000658171  Lin-Lin
 6578.74     0.000632448  Lin-Lin
 7155.64     0.000602569  Lin-Lin
 7783.13     0.000574338  Lin-Lin
 8585.08     0.000542495  Lin-Lin
 9337.92     0.000516384  Lin-Lin
 10300.1     0.000487146  Lin-Lin
 11203.3     0.00046319   Lin-Lin
 11766.6     0.000449609  Lin-Lin
 12798.4     0.000427114  Lin-Lin
 13727.1     0.000409461  Lin-Lin
 14723.1     0.000392344  Lin-Lin
 15791.4     0.000375741  Lin-Lin
 17176.2     0.000356383  Lin-Lin
 18682.4     0.000338133  Lin-Lin
 20463.1     0.000319262  Lin-Lin
 21642.5     0.000308084  Lin-Lin
 23212.9     0.000294431  Lin-Lin
 25426.6     0.000277708  Lin-Lin
 27457.8     0.00026405   Lin-Lin
 30025.9     0.000248869  Lin-Lin
 32632.3     0.000234271  Lin-Lin
 35000.1     0.000222503  Lin-Lin
 38069.3     0.000211726  Lin-Lin
 44101.1     0.000192388  Lin-Lin
 47968.4     0.00018163   Lin-Lin
 51928.1     0.000171972  Lin-Lin
 55696       0.000163799  Lin-Lin
 59537.2     0.000156337  Lin-Lin
 63413       0.000149585  Lin-Lin
 68405.3     0.000141777  Lin-Lin
 73368.8     0.000134878  Lin-Lin
 78552.5     0.00012845   Lin-Lin
 83625.5     0.000122795  Lin-Lin
 88445.5     0.000117933  Lin-Lin
 96201.5     0.000110939  Lin-Lin
 106114      0.000103043  Lin-Lin
 113813      9.76455E-05  Lin-Lin
 121693      9.27543E-05  Lin-Lin
 129615      8.83723E-05  Lin-Lin
 136811      8.47878E-05  Lin-Lin
 146738      8.03409E-05  Lin-Lin
 157105      7.62379E-05  Lin-Lin
 167251      7.26588E-05  Lin-Lin
 178139      6.92267E-05  Lin-Lin
 187087      6.66734E-05  Lin-Lin
 201411      6.30033E-05  Lin-Lin
 217538      5.95666E-05  Lin-Lin
 228010      5.76275E-05  Lin-Lin
 241693      5.53489E-05  Lin-Lin
 261834      5.25108E-05  Lin-Lin
